genes	GSE89775
ENSG00000278318	7.07175299237655
ENSG00000198901	7.06887396644242
ENSG00000137411	7.06615267955589
ENSG00000239697	7.06589169939711
ENSG00000197183	7.06551164580779
ENSG00000258867	7.06132061764469
ENSG00000119866	7.06025144613468
ENSG00000160193	7.03424618385731
ENSG00000100300	7.02678344694764
ENSG00000095303	7.01557384020679
ENSG00000065328	6.99707936577407
ENSG00000153551	6.95934813035612
ENSG00000205643	6.9579034488222
ENSG00000218891	6.94566079905009
ENSG00000111203	6.91655326944172
ENSG00000154743	6.90414020122262
ENSG00000076258	6.89483418396019
ENSG00000206457	6.89153616612063
ENSG00000167555	6.88643328019596
ENSG00000038002	6.87862421836974
ENSG00000002016	6.87298248099004
ENSG00000213347	6.85897215654007
ENSG00000092295	6.8448199735075
ENSG00000008323	6.84037772897745
ENSG00000138443	6.83026036311886
ENSG00000169442	6.80843384851784
ENSG00000117586	6.79959546112953
ENSG00000029639	6.79321332770338
ENSG00000125534	6.78273262408265
ENSG00000106077	6.77821413999978
ENSG00000148346	6.77398543153699
ENSG00000047578	6.76554132076723
ENSG00000125520	6.76421115315408
ENSG00000122986	6.74999020872676
ENSG00000101115	6.74620202884412
ENSG00000100105	6.73664602162572
ENSG00000164330	6.73649572892106
ENSG00000155542	6.72529001036066
ENSG00000152223	6.72347333481082
ENSG00000131495	6.70974443478762
ENSG00000130590	6.69851525108259
ENSG00000154655	6.66408443331162
ENSG00000103274	6.65404215768154
ENSG00000146094	6.65196618983845
ENSG00000243708	6.63768816541013
ENSG00000198203	6.63756849309078
ENSG00000110693	6.63346630876465
ENSG00000107890	6.62930701384837
ENSG00000082196	6.60945858579729
ENSG00000146409	6.59315743477529
ENSG00000230124	6.58288175391024
ENSG00000102287	6.56881360019174
ENSG00000235961	6.54204073625145
ENSG00000196123	6.50861367118731
ENSG00000187531	6.47043143086914
ENSG00000131910	6.46198685880654
ENSG00000142484	6.44429791834608
ENSG00000250328	6.41596331745659
ENSG00000111906	6.39010995088279
ENSG00000116675	6.37525616716413
ENSG00000164051	6.36554813942047
ENSG00000160055	6.35820091590141
ENSG00000258644	6.35007477724457
ENSG00000205220	6.34035221078155
ENSG00000128242	6.3340165103193
ENSG00000007376	6.31997798431174
ENSG00000211459	6.31035146413089
ENSG00000197114	6.28615915858036
ENSG00000168887	6.28198795295239
ENSG00000100227	6.27909169516573
ENSG00000087884	6.25858948212001
ENSG00000260552	6.24881913860166
ENSG00000205593	6.23937612572738
ENSG00000143028	6.21630290892606
ENSG00000246705	6.20858889140704
ENSG00000064652	6.20309097231382
ENSG00000177807	6.20226825184001
ENSG00000035681	6.19361818764146
ENSG00000147180	6.18437067757073
ENSG00000171159	6.17922725464702
ENSG00000205560	6.17284979873504
ENSG00000113761	6.13875005836374
ENSG00000029993	6.13037334973302
ENSG00000198040	6.12236854237275
ENSG00000100429	6.11458771406553
ENSG00000233345	6.10935307386239
ENSG00000162409	6.09782850061601
ENSG00000156381	6.07231893949021
ENSG00000089820	6.05383470000563
ENSG00000167862	6.04188569187349
ENSG00000165898	6.02771296703251
ENSG00000249115	6.01769222987424
ENSG00000203883	6.00989941842604
ENSG00000064961	6.00057769555444
ENSG00000266074	5.96720871410412
ENSG00000182511	5.94868462888078
ENSG00000117602	5.9452493674016
ENSG00000060339	5.932327541575
ENSG00000042286	5.90793169870667
ENSG00000101331	5.90347954718919
ENSG00000241253	5.88486418103911
ENSG00000198563	5.86714531697532
ENSG00000198707	5.86445050962207
ENSG00000106733	5.86001148031044
ENSG00000176108	5.852801290749
ENSG00000169174	5.84789079158793
ENSG00000119888	5.84046783772949
ENSG00000187189	5.82185821496459
ENSG00000151117	5.81118289195308
ENSG00000185269	5.80868439713254
ENSG00000179583	5.80771325858064
ENSG00000170889	5.8039112175533
ENSG00000173163	5.80221563365362
ENSG00000235439	5.77947145864698
ENSG00000168894	5.76201680377956
ENSG00000177169	5.75980880386588
ENSG00000131126	5.75275345825811
ENSG00000161249	5.735645755161
ENSG00000237333	5.7243028642237
ENSG00000129925	5.6927829563061
ENSG00000105137	5.67736297524831
ENSG00000130479	5.67731411174956
ENSG00000127328	5.65886168459198
