"","NT","NT","NT","T","T","T","T","T","T","T","T","T","T"
"ABAT",70.9595555577716,85.4552975045038,5.68777992610629,3032.32714720733,7.27959562909568,843.860762701812,8.4422386689058,65.8958095340305,53.0253691746632,1625.46594431751,727.474414371662,178.755346023088,70.9595555577716
"ABCA1",23262.3444592803,3935.28886982605,329.891235714165,55.7029097075973,88.7200717296036,615.904077695407,21.5746099316482,446.855958402644,182.993933619795,863.303023759745,445.83789109349,339.496587408191,23262.3444592803
"ABCA10",110.381530867645,1.44839487295769,65.4094691502224,73.1100689912214,28.2084330627458,1.20293765174884,0,43.2441250067075,0.225639868828354,0,4.6766212352464,9.69990249737688,110.381530867645
"ABCA11P",1.12634215171066,0,88.1605888546475,0,12.284317624099,0,0,0,0,23.8401671833235,0.519624581694044,8.31420214060875,1.12634215171066
"ABCA12",3.37902645513198,0,0,17.4071592836241,0,0,0.469013259383656,0,0.225639868828354,0,0,0,3.37902645513198
"ABCA13",0,8.69036923774615,2.36990830254429,0,1.81989890727392,0,0.938026518767311,0,1.12819934414177,2.16728792575668,2.59812290847022,2.77140071353625,0
"ABCA17P",0,0,0,0,0,1.80440647762326,0.469013259383656,0,0.225639868828354,0,3.63737207185831,0,0
"ABCA2",186.97279718397,5.79357949183077,171.107379443698,13.9257274268993,136.947392772362,575.605666361821,317.052963343351,80.3105178695997,1592.11491445287,245.625964919091,3.63737207185831,106.698927471146,186.97279718397
"ABCA3",0,0,129.396993318918,45.2586141374228,0,0,7.50421215013849,4.11848809587691,19.4050287192384,0.72242930858556,14.5494882874332,20.7855053515219,0
"ABCA4",0,24.6227128402808,0.947963321017715,10.4442955701745,4.5497472681848,0,104.589956842555,119.43615478043,1.12819934414177,6.50186377727004,0,4.15710107030438,0
"ABCA5",171.20400706002,351.959954128719,33.17871623562,181.034456549691,231.127161223788,9.02203238811631,2.81407955630193,2.05924404793845,7.22047580250733,5.77943446868448,69.1100693653079,116.398829968523,171.20400706002
"ABCA6",858.272719603523,2979.34825367397,25.5950096674783,215.848775116939,65.0613859350426,3.0073441293721,1.40703977815097,1322.03467877649,88.9021083183715,13.7261568631256,1.55887374508213,29.0997074921306,858.272719603523
"ABCA7",2.25268430342132,10.1387641107038,3.79185328407086,87.0357964181207,208.833399609682,83.6041667965445,7.03519889075483,12.3554642876307,30.0101025541711,103.307391127735,25.4616045030082,27.7140071353625,2.25268430342132
"ABCA8",501.222257511244,976.218144373484,3.79185328407086,532.659074078899,95.5446926318808,6.01468825874421,13.601384522126,84.4290059654766,17.3742698997833,6.50186377727004,0.519624581694044,191.226649234001,501.222257511244
