"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KHDRBS2",4.11931216033408,1.45455674291797,0.483967909754523,3.00548179662521,0.00265160467149886,0.00709117969259003
"KHDRBS3",481.872201155197,0.435291434767363,0.243545886245935,1.78730768758624,0.0738877722046091,0.127112990689229
"KHK",5773.45471586674,-1.64071823897505,0.308750307952307,-5.31406187043705,1.07208191329259e-07,8.27061375387389e-07
"KHNYN",1599.48352848199,0.567818211802477,0.141142627509988,4.02301007016674,5.74590386747245e-05,0.000232606915089703
"KHSRP",3807.8755671009,0.378708836838616,0.131486884444403,2.88020237485166,0.00397419980791517,0.0101230223302906
"KHSRPP1",0.120775719739789,-0.412330132506015,2.31536384971787,-0.178084378641507,0.858656709972283,NA
"KIAA0040",1089.96784900357,-0.517611345555629,0.347900366274219,-1.4878148910819,0.13679971747457,0.212509741934921
"KIAA0087",8.21366157914266,0.0568387064230969,0.248610161011362,0.228625838106832,0.819159740493654,0.869112345524238
"KIAA0100",1965.98166173384,0.338250414567589,0.119725885702331,2.8252070350815,0.00472500748196019,0.0118039647198686
"KIAA0232",1258.18965374334,0.131167517512284,0.119767449018605,1.09518503221946,0.273435581735429,0.375148771782035
"KIAA0319",5.80094913968328,0.366805493863854,0.36180809036817,1.01381230444736,0.310672322885686,0.415138547297286
"KIAA0319L",1992.40536721632,-0.044081619675038,0.112309389778336,-0.392501639996811,0.694687599831682,0.770367027457746
"KIAA0408",12.6386922549626,2.21487121676632,0.835407671256686,2.65124596406271,0.00801954159054094,0.0188065277512006
"KIAA0513",217.779339822727,0.409309564842909,0.15100980586938,2.71048335229934,0.00671852211530072,0.0160948013491251
"KIAA0586",474.006945953228,0.0353512030881043,0.128540464157628,0.275020036062368,0.783300845087089,0.841827266290783
"KIAA0753",369.727198367069,1.00725828279404,0.142801668343777,7.05354702417893,1.74413527760095e-12,4.40100146218874e-11
"KIAA0825",42.2081848267591,0.35796288246625,0.179302241828242,1.99642167781232,0.0458880431611668,0.0848260302206464
"KIAA0895",254.97796709428,-0.330176494607774,0.220741613580567,-1.49576008461705,0.134716186423406,0.209686195279689
"KIAA0895L",323.52074230618,0.465134232745541,0.193372891177342,2.40537455852055,0.0161558974415578,0.0345277378387528
"KIAA0930",1528.12618467864,-0.476176537975905,0.174795981864876,-2.72418469175114,0.00644604479986843,0.015500133210226
"KIAA1109",1654.17587774574,-0.0270271876126368,0.123625741548161,-0.218621035345682,0.826945265321991,0.874754556900996
"KIAA1143",1111.95257629317,0.153679394945611,0.0864196592184423,1.77829207307051,0.0753558975892941,0.129153508949744
"KIAA1143P2",0.010950653063411,-0.495084986557765,2.93009564671429,-0.168965469476376,0.865823802198661,NA
"KIAA1191",2109.1967083849,-0.308778408658658,0.0862877378201484,-3.57847379545692,0.00034560651212763,0.00114815621144537
"KIAA1210",14.6542584113725,-0.480453086984047,0.23622496958521,-2.03387934741903,0.0419637617365644,0.0786450976471952
"KIAA1217",1837.78642736187,-1.11969390100112,0.183284052358553,-6.10906342691889,1.00217497422525e-09,1.25507777968912e-08
"KIAA1328",863.665104827126,-0.27974067135896,0.17049426711479,-1.64076291885297,0.100846638399491,0.16503060548639
"KIAA1522",1117.28013280067,0.0503069049214378,0.184308421946395,0.272949572190843,0.784891979645305,0.843126886182188
"KIAA1549",172.845710672685,2.11065214661456,0.282787782416609,7.46373173755116,8.41057526784005e-14,3.00967733125836e-12
"KIAA1549L",34.0327299272207,-0.573662082766233,0.513250828845189,-1.1177031784965,NA,NA
"KIAA1586",297.537969901127,0.59777994674908,0.118419098175647,5.04800286405166,4.46452456182344e-07,2.98432448684528e-06
"KIAA1614",162.308208591214,1.23202490717843,0.264679085313657,4.65478753532195,3.24314957958797e-06,1.7563281718843e-05
"KIAA1614-AS1",17.3408700198027,0.490364082462893,0.478378567053051,1.02505445735932,0.305337492927929,0.409521717066927
"KIAA1671",2146.25607245416,-1.16596631259207,0.172345316503108,-6.76529154519289,1.33041019701105e-11,2.66794974930126e-10
"KIAA1671-AS1",24.6564074343997,-1.76067096128377,0.228094723028009,-7.71903417102535,1.1721447932741e-14,5.32505861948537e-13
"KIAA1755",148.478565158474,1.99003931450863,0.366618112851393,5.42809873475968,5.69575301035415e-08,4.72591246582523e-07
"KIAA1841",239.889114667228,1.18562825033352,0.191270772553874,6.19869013181074,5.69349980473262e-10,7.58640809829158e-09
"KIAA1958",589.339244195164,0.671779668761042,0.20556375676733,3.26798692203998,0.00108315370529767,0.00319633128298147
"KIAA2012",109.403705896747,-0.251497560446611,0.150005724523144,-1.67658641859236,0.0936233843928936,0.155060438377518
"KIAA2012-AS1",1.37488756630666,-0.187561947737882,0.415087827034122,-0.451860872620731,0.651369213488366,0.734728765945113
"KIAA2013",1652.88092972236,-0.382979414433864,0.123727620161878,-3.09534293097043,0.00196585462010684,0.00542619129357906
"KIAA2026",595.750079589364,0.0168139542451328,0.141826994382099,0.118552566938237,0.905629846329035,0.933797290295557
"KIDINS220",2500.79189406399,0.486446001679669,0.158015728953842,3.07846570022005,0.00208069480229022,0.00571175687427152
"KIF11",275.27968031911,2.24935703873848,0.291659262881887,7.71227704723851,1.23592467990813e-14,5.55763360645449e-13
