"",gene_symbol,GSM2388498,GSM2388499,GSM2388500,GSM2388501,GSM2388502,GSM2388503,GSM2388504,GSM2388505,GSM2388506,GSM2388507,GSM2388508,GSM2388509,GSM2388510
ENSG00000005187,ACSM3,17.5557,392.1121,374.7073,59.4307,44.3853,37.3871,41.5064,22.8539,156.4895,20.1494,1073.0042,1185.5355,10.8203
ENSG00000005189,LOC81691,0.2109,8.3636,2.6089,2.2965,10.0171,7.4589,0.7069,5.6583,2.15,1.1562,49.7131,122.058,7.9614
ENSG00000005194,CIAPIN1,4.1516,2.4484,0,121.9481,11.7637,19.1173,14.0185,184.8425,4.9931,3.9492,21.534,18.4628,34.1258
ENSG00000005206,SPPL2B,0,38.4494,9.9794,128.0712,24.5862,728.5401,6.5311,153.2876,5.796,138.0965,570.1911,350.1947,62.5361
ENSG00000005238,FAM214B,0.8838,0,101.9267,16.3169,5.4383,218.3974,239.8876,166.4801,0,102.3614,21.5756,0,19.7534
ENSG00000005243,COPZ2,16.916,54.0521,7.492,94.0866,1.105,74.094,5.4569,15.2484,516.9794,2.9777,4.4153,0.8896,4.1601
ENSG00000005249,PRKAR2B,0,341.0095,53.1287,517.9952,3.6581,68.0989,0,0.6445,2.3085,1.5309,0,4.4868,3.2779
ENSG00000005302,MSL3,0,51.5242,2.2019,261.7119,0,203.0489,1.741,115.111,0.6859,171.9299,127.9604,3.9551,51.0317
ENSG00000005339,CREBBP,47.4439,10.0659,7.2224,804.8652,384.9008,198.9042,88.9166,2929.3045,0.9821,424.3231,898.4038,2087.3465,372.3284
ENSG00000005379,TSPOAP1,0.7864,0,40.5855,210.889,22.4447,1216.9018,3.4632,606.9468,0.2489,27.1658,90.3639,333.7497,80.326
ENSG00000005381,MPO,0,0,7.289,0,2.0379,32.1316,144.5359,0.8486,14.8115,0,0,1.449,15.4211
ENSG00000005421,PON1,737.4245,2743.5881,373.0769,0,30.8098,162.2314,963.572,23.5376,126.9168,139.1835,448.8276,39.8675,10.9585
ENSG00000005436,GCFC2,27.8841,0,3.8916,55.3291,27.1964,25.4366,6.5979,149.961,10.8655,335.7503,254.9047,45.1508,41.6332
ENSG00000005448,WDR54,11.406,0.6227,0,3.2649,0,4.7842,7.9541,42.1964,0,0,0,162.9684,1.6635
ENSG00000005469,CROT,75.8763,441.3628,13.2208,53.3409,40.4782,182.4882,137.7241,199.2054,2.4741,353.2441,2.8845,406.2274,18.271
ENSG00000005471,ABCB4,50.403,1261.6135,211.9941,194.2088,92.8395,820.3447,299.6959,542.0093,29.4936,2012.0111,20.0854,2188.1636,65.6437
ENSG00000005483,KMT2E,235.8939,2972.729,125.9076,1164.7839,304.5702,629.6003,82.668,1140.186,0.8981,134.4626,697.3062,11.2495,403.6046
ENSG00000005486,RHBDD2,7.2144,199.3784,175.8959,741.1221,45.2359,1372.6223,263.5484,3225.2415,937.0754,307.4503,2609.1842,1016.3359,34.3486
ENSG00000005513,SOX8,0,6.5159,0,61.4324,2.0163,9.5162,41.7861,1.9676,0,47.7122,25.5529,0,0
ENSG00000005700,IBTK,115.2949,112.0427,265.9731,193.9031,0.7156,8.9345,690.4539,2.4051,322.4451,57.0414,473.8574,266.0095,42.7834
ENSG00000005801,ZNF195,4.9612,147.5989,4.3778,3153.6285,10.3839,115.248,73.8405,3.7101,22.0007,35.1374,24.1026,10.5223,42.6439
