gene,adj_p-value,effect size
MSL1,2.8290207245401317e-18,1.2598677037232144
NPEPPS,8.615481967132775e-19,1.259386147264482
MAGED2,1.9392260291007395e-18,1.2590969927049247
TBCK,7.129942653190461e-18,1.2590831353148526
ZNF419,8.30670915066315e-19,1.258913282729403
ZNF710,2.5253819614139635e-18,1.2569410121792715
ZNF512,6.79141724138716e-18,1.256740430721311
NACA,3.731083016928429e-18,1.2565467359466846
LEMD2,1.4797210319659453e-18,1.2563519658633568
PGBD1,5.342234936774961e-18,1.2562861525095104
ROCK2,2.7672452177465094e-18,1.2558736358850797
RABIF,5.0878780692643376e-18,1.2554881197989995
THOC5,6.4147390766649106e-18,1.2553784817746698
COMMD7,2.488636848754492e-18,1.2547972469229385
ARSG,3.1971753410079733e-18,1.2540967252679633
ARID2,1.990378118257101e-18,1.2536418875912374
ZNF189,2.7354888675704044e-18,1.2534838668782557
COG2,1.1887154085634662e-17,1.2532494309595985
RNF8,5.318673070287947e-18,1.253085512010906
PWWP2A,1.2645599412954463e-18,1.2518607348136992
ZFHX3,2.8072148354161514e-18,1.2503094118927707
ZFP14,8.735800285407584e-19,1.2500316663654327
VPS39,9.41821398583435e-19,1.2497818680734638
ZNF251,7.023066297220537e-18,1.2487161995315355
IGBP1,4.394632463822299e-18,1.2486996625331013
ZKSCAN4,2.5837949616962188e-18,1.2486820677329806
TPR,1.2609581169257462e-17,1.248461810986734
ZNF322,2.2883424424209867e-18,1.2482107330550583
IK,1.6821529082137141e-18,1.2475128993687934
TFCP2,6.997634364193287e-18,1.247254073035287
LRRC1,9.500373224196362e-18,1.2468737869252808
LDB1,4.803833557978658e-18,1.2462279977073039
ZNF773,2.0051307886973235e-18,1.244994091648203
PRKD3,1.0652529618838182e-17,1.2445348243601078
TP53BP1,9.442041596153852e-18,1.2435816171303755
UBN1,1.4542950661132291e-18,1.24348248698821
PTOV1-AS1,4.0659324138486496e-18,1.2432695817367756
SVIL-AS1,1.4807744040828877e-18,1.2431158940571911
EXOSC10,3.996073530990796e-18,1.242808473889869
CLUAP1,2.275481390389599e-18,1.242691989649889
VPS54,1.0535127683457816e-17,1.2422930334527413
SLC7A6,5.5780864093159554e-18,1.2421732688526066
EXOSC7,4.229033898954644e-18,1.2420530805045664
ATXN1L,5.666102629495557e-18,1.2413926650222316
HNRNPUL1,4.3224473088647975e-18,1.2410161150725525
