gene,t-statistic,adj_p-value,effect size
MAP4K4,4.717284761720309,1.472555890168614e-05,0.8176557831008747
DUSP26,4.6736605224206915,1.4664493100009694e-05,0.8180819970608141
TEX38,4.671697596218252,1.4621403424122251e-05,0.8182646675245939
MAPK3,4.6559745623258175,1.4689504702014652e-05,0.8185515325800025
TEKT3,4.676572196192955,1.4294861291415022e-05,0.8191924602981993
STK33,4.763807418795002,1.3996483678734206e-05,0.8202300816760463
MTR,4.703323154580798,1.3712988644774955e-05,0.8205538415419698
USP46,4.726588511716741,1.2917654584623445e-05,0.822866324683438
PVT1,4.724315199718687,1.2412631327062565e-05,0.82458333657815
FBXL19,4.7348616010233195,1.2116657220930016e-05,0.8254821849202457
WSCD1,4.761201739348533,1.1949399637818867e-05,0.825946209236155
CPA6,4.783470932845335,1.148660264114045e-05,0.8275938790950026
EML6,4.828406089746882,1.1557980632625924e-05,0.8282754825497023
PPOX,4.743536679202785,1.128371340999786e-05,0.8284450024230208
FOXRED2,4.816235525158724,1.1339040546529678e-05,0.8285953064300147
BCAM,4.690392767284845,1.1704095364699378e-05,0.8289098717276592
SLC26A11,4.667963576412862,1.2091724963446007e-05,0.8289158424294907
CEP250,4.812731048642887,1.0995689292634339e-05,0.8295799851288871
GPC3,4.8401794777699445,1.1209112732766456e-05,0.8296068224748835
RBP7,4.807895531255141,1.0887347544934246e-05,0.82984862699889
PGBD1,4.7213683385160214,1.1102065926131795e-05,0.8299281677487753
SLC25A36,4.813815016598806,1.0730769795597035e-05,0.830455468137313
ZNF607,4.776266971995387,1.0649968349427827e-05,0.83050921704142
ARHGEF3,4.712005267562929,1.104623403176272e-05,0.8307081852149646
ASAP2,4.584733958379321,1.433938691042276e-05,0.8310382365517877
SMPX,4.831161456213881,1.0617993845824743e-05,0.8311532396818097
SNORD114-14,4.821285577227803,1.0337223643732376e-05,0.8318967953550201
FBXO31,4.768850455825435,1.0258623563232464e-05,0.8321724342845063
AATK,4.728139546243405,1.0561664554870498e-05,0.8321883204188648
DPY19L1P1,4.752060377401569,1.0328987116294442e-05,0.8322763274134468
NKPD1,4.761958108202226,1.0223193332432071e-05,0.8324732744934222
FAM217B,4.783391328046997,1.0080146557845197e-05,0.8327219741257109
RASAL2-AS1,4.684516057984457,1.1104444942617336e-05,0.8328520487590663
TSPYL4,4.7433933242351465,1.004414757037589e-05,0.83402059403283
SLC29A4,4.844935870532968,9.630012561760452e-06,0.834775543382261
CROCCP3,4.727945391947905,1.0044158243169986e-05,0.8350003600522913
NRXN3,4.849327478749324,9.499213068677322e-06,0.835328346143424
ADAMTS6,4.851365284185011,9.198332388584166e-06,0.8364848681950673
CD34,4.689981625284395,1.0421361981655795e-05,0.8368637568634641
CDK5R1,4.849162135086712,9.08361309098644e-06,0.8368977423211911
