gene,t-statistic,adj_p-value,effect size
SYNJ2,2.594819262146144,0.011002669221876923,0.5016425452276259
THEM4,2.6380702516364467,0.009918947270738068,0.5017322754834275
RHOXF1,2.692931634164973,0.00884859277103706,0.5017358272416139
ARL15,2.6391120894554243,0.0098923914135761,0.5018577395130448
RAB39B,2.7275632371515557,0.008321496157857003,0.5018866818128259
SUGP2,2.618614574257715,0.010375146448688984,0.5018952398744485
PARP2,2.6603929741977046,0.00943934198600658,0.501903117991033
CSN1S2AP,2.761531533394825,0.007914462208100563,0.5019352358052789
BRWD3,2.6370573547150906,0.009936091635063106,0.5019625517036284
LINC00485,2.7255885463716814,0.008334560243509556,0.5021512816271709
ADCY3,2.7148866648793972,0.00848336605078967,0.5022103078165153
TPX2,2.7629453061371314,0.007881730154721137,0.5022233593567942
DEPDC1,2.7574464845952025,0.00793783136385293,0.5022621692739543
SHISA7,2.756043389250659,0.00795188112803145,0.5022837419980107
HMGA2,2.765100193296615,0.007854229542228282,0.5023074849246709
RFT1,2.716686786711212,0.00845217121128193,0.5023123591345019
UBE2Z,2.6541699802125467,0.009552732554017333,0.5023660138296475
RASL11B,2.735062574897932,0.008195889843843058,0.5023978169624885
METTL17,2.6059247815436968,0.010692054668539386,0.5024162343137186
CNP,2.6780874300977837,0.009081754183458706,0.5024216925147988
MIR125B1,2.733615187717805,0.008211412934996536,0.5024587430374315
RXFP3,2.7322138413660007,0.008225502845641594,0.5025403022295896
MTCH1,2.6564983308964765,0.009498436731210121,0.5025684398112379
FASN,2.6372290432813785,0.009916654470188241,0.5026133059850354
APLP1,2.762239551829097,0.007860578780827226,0.5026862360361191
MORC4,2.6599390221939467,0.009424295442537789,0.5026869813201466
MYLIP,2.6789562955588373,0.009054761329069131,0.5027289481890209
EFTUD2,2.707420580625232,0.008566220990354891,0.5028686754987364
PPP2R1A,2.6773384115968764,0.00907940467204356,0.5028777473769172
SPIN3,2.6840642346409296,0.008955294332178126,0.5029164338631661
LAPTM4B,2.760824996703809,0.007856463673444012,0.5030050445870744
NEDD1,2.6945573133280303,0.008768249048386075,0.5030330584954535
GID8,2.686914560987789,0.008897900702467657,0.5030964744865954
ARID2,2.656444972921105,0.009482640361928639,0.5031588435391386
FANCA,2.750993077679681,0.00795506575341862,0.5032152569641983
SYNGR3,2.743353175610361,0.008046541766537942,0.5032274469459195
B9D2,2.6162109772024524,0.010412534035495535,0.5032339623954821
SNCB,2.743379870542653,0.00804503421412716,0.5032492489152459
HERC2,2.645479936782811,0.009710741943852692,0.5034636771000405
ZBED3,2.6926870620451897,0.00878254114638272,0.503484336996931
AIFM3,2.696432490080802,0.008714062315044346,0.5036040000280678
LRP11,2.675280297610037,0.009087627740557082,0.5037842071740203
FBXW9,2.694749475568623,0.00873330699489699,0.5038465153985653
NXPH3,2.7706353554311196,0.00770212535508147,0.5038512744042497
HSP90AB1,2.7291681300494535,0.008200578962049126,0.503856037450931
VEZF1,2.6458734127089514,0.009692209773023869,0.5038752962135833
ITGB1BP1,2.703316591517228,0.008588475535534226,0.5038902652494015
NRGN,2.72724404822626,0.00822225738811377,0.5039642750295351
ZNF713,2.7084970422376573,0.008501951118289268,0.5039713762427299
CENPH,2.7675581781300105,0.00772279484129815,0.5040402601156724
PRRT3-AS1,2.6426047105425208,0.009760563012780126,0.50410055242479
SETDB2,2.6445151212403495,0.00971692916354382,0.5041218517215099
