Unnamed: 0,Size,Recon3D_metabolites,num_matches,matches
ClusterID:397,1,0,0, NaN
ClusterID:398,1,0,0, NaN
ClusterID:399,1,0,0, NaN
ClusterID:400,1,0,0, NaN
ClusterID:401,1,0,0, NaN
ClusterID:402,1,0,0, NaN
ClusterID:403,1,0,0, NaN
ClusterID:404,1,0,0, NaN
ClusterID:405,1,0,0, NaN
ClusterID:406,1,0,0, NaN
ClusterID:407,1,0,0, NaN
ClusterID:408,1,0,0, NaN
ClusterID:409,1,0,0, NaN
ClusterID:410,1,0,0, NaN
ClusterID:411,1,0,0, NaN
ClusterID:412,1,0,1, ['ACADL']
ClusterID:413,1,0,0, NaN
ClusterID:414,1,0,0, NaN
ClusterID:415,1,0,0, NaN
ClusterID:416,1,0,0, NaN
ClusterID:417,1,0,0, NaN
ClusterID:418,1,0,0, NaN
ClusterID:419,1,0,0, NaN
ClusterID:420,1,0,0, NaN
ClusterID:421,1,0,0, NaN
ClusterID:422,1,0,0, NaN
ClusterID:423,1,0,0, NaN
ClusterID:424,1,0,0, NaN
ClusterID:425,1,0,0, NaN
ClusterID:426,1,0,0, NaN
ClusterID:427,1,0,0, NaN
ClusterID:428,1,0,0, NaN
ClusterID:429,1,0,0, NaN
ClusterID:430,1,0,0, NaN
ClusterID:431,1,0,0, NaN
ClusterID:432,1,0,0, NaN
ClusterID:433,1,0,0, NaN
ClusterID:434,1,0,0, NaN
ClusterID:435,1,0,0, NaN
ClusterID:436,1,0,0, NaN
ClusterID:437,1,0,0, NaN
ClusterID:438,1,0,0, NaN
ClusterID:439,1,0,0, NaN
ClusterID:440,1,0,0, NaN
ClusterID:441,1,0,0, NaN
ClusterID:442,1,0,0, NaN
ClusterID:443,1,0,0, NaN
ClusterID:444,1,0,0, NaN
ClusterID:445,1,0,0, NaN
ClusterID:446,1,0,0, NaN
ClusterID:447,1,0,0, NaN
ClusterID:448,1,0,0, NaN
ClusterID:449,1,0,0, NaN
ClusterID:450,1,0,0, NaN
ClusterID:451,1,0,0, NaN
ClusterID:452,1,0,0, NaN
ClusterID:453,1,0,0, NaN
ClusterID:454,1,0,0, NaN
ClusterID:455,1,0,0, NaN
ClusterID:456,1,0,0, NaN
ClusterID:457,1,0,0, NaN
ClusterID:458,1,0,0, NaN
ClusterID:459,1,0,0, NaN
ClusterID:460,1,0,0, NaN
ClusterID:461,1,0,0, NaN
ClusterID:462,1,0,0, NaN
ClusterID:463,1,0,0, NaN
ClusterID:464,1,0,0, NaN
ClusterID:465,1,0,0, NaN
ClusterID:466,1,0,0, NaN
ClusterID:467,1,0,0, NaN
ClusterID:468,1,0,0, NaN
ClusterID:469,1,0,0, NaN
ClusterID:470,1,0,0, NaN
ClusterID:471,1,0,0, NaN
ClusterID:472,1,0,0, NaN
ClusterID:473,1,0,0, NaN
ClusterID:474,1,0,0, NaN
ClusterID:475,1,0,0, NaN
ClusterID:476,1,0,0, NaN
ClusterID:477,1,0,0, NaN
ClusterID:478,1,0,0, NaN
ClusterID:479,1,0,0, NaN
ClusterID:480,1,0,0, NaN
ClusterID:481,1,0,0, NaN
ClusterID:482,1,0,0, NaN
ClusterID:483,1,0,0, NaN
ClusterID:484,1,0,0, NaN
ClusterID:485,1,0,0, NaN
ClusterID:486,1,0,0, NaN
ClusterID:487,1,0,0, NaN
ClusterID:488,1,0,0, NaN
ClusterID:489,1,0,0, NaN
ClusterID:490,1,0,0, NaN
ClusterID:491,1,0,0, NaN
ClusterID:492,1,0,0, NaN
ClusterID:493,1,0,0, NaN
ClusterID:494,1,0,0, NaN
ClusterID:495,1,0,0, NaN
ClusterID:496,1,0,0, NaN
ClusterID:497,1,0,0, NaN
ClusterID:498,1,0,0, NaN
ClusterID:499,1,0,0, NaN
ClusterID:500,1,0,0, NaN
