	Size	liver_PPI
ClusterID:628	2	1
ClusterID:629	4	5
ClusterID:630	1	0
ClusterID:631	1	0
ClusterID:632	4	3
ClusterID:633	1	0
ClusterID:634	4	3
ClusterID:635	1	0
ClusterID:636	2	1
ClusterID:637	1	0
ClusterID:638	1	0
ClusterID:639	7	9
ClusterID:640	2	1
ClusterID:641	1	0
ClusterID:642	1	0
ClusterID:643	1	0
ClusterID:644	1	0
ClusterID:645	1	0
ClusterID:646	1	0
ClusterID:647	1	0
ClusterID:648	2	1
ClusterID:649	1	0
ClusterID:650	1	0
ClusterID:651	1	0
ClusterID:652	1	0
ClusterID:653	1	0
ClusterID:654	1	0
ClusterID:655	2	1
ClusterID:656	1	0
ClusterID:657	1	0
ClusterID:658	1	0
ClusterID:659	3	3
ClusterID:660	1	0
ClusterID:661	1	0
ClusterID:662	1	0
ClusterID:663	1	0
ClusterID:664	1	0
ClusterID:665	1	0
ClusterID:666	3	2
ClusterID:667	7	16
ClusterID:668	1	0
ClusterID:669	1	0
ClusterID:670	5	8
ClusterID:671	1	0
ClusterID:672	2	1
ClusterID:673	2	1
ClusterID:674	1	0
ClusterID:675	1	0
ClusterID:676	1	0
ClusterID:677	5	10
ClusterID:678	6	11
ClusterID:679	2	1
ClusterID:680	1	0
ClusterID:681	1	0
ClusterID:682	4	3
ClusterID:683	9	22
ClusterID:684	5	4
ClusterID:685	1	0
ClusterID:686	2	1
ClusterID:687	18	101
ClusterID:688	1	0
ClusterID:689	2	1
ClusterID:690	11	34
ClusterID:691	1	0
ClusterID:692	1	0
ClusterID:693	2	1
ClusterID:694	1	0
ClusterID:695	3	2
ClusterID:696	3	2
ClusterID:697	5	10
ClusterID:698	1	0
ClusterID:699	1	0
ClusterID:700	3	3
ClusterID:701	2	1
ClusterID:702	2	1
ClusterID:703	1	0
ClusterID:704	4	4
ClusterID:705	2	1
ClusterID:706	8	24
ClusterID:707	3	2
ClusterID:708	1	0
ClusterID:709	1	0
ClusterID:710	4	3
ClusterID:711	4	6
ClusterID:712	4	6
ClusterID:713	1	0
ClusterID:714	1	0
ClusterID:715	1	0
ClusterID:716	1	0
ClusterID:717	8	20
ClusterID:718	1	0
ClusterID:719	3	2
ClusterID:720	2	1
ClusterID:721	1	0
ClusterID:722	1	0
ClusterID:723	1	0
ClusterID:724	4	4
ClusterID:725	1	0
ClusterID:726	3	2
ClusterID:727	1	0
ClusterID:728	2	1
ClusterID:729	1	0
ClusterID:730	1	0
ClusterID:731	10	35
ClusterID:732	1	0
ClusterID:733	7	7
ClusterID:734	1	0
ClusterID:735	1	0
ClusterID:736	1	0
ClusterID:737	2	1
ClusterID:738	4	4
ClusterID:739	4	3
ClusterID:740	1	0
ClusterID:741	3	3
ClusterID:742	2	1
ClusterID:743	1	0
ClusterID:744	1	0
ClusterID:745	2	1
ClusterID:746	5	4
ClusterID:747	1	0
ClusterID:748	6	15
ClusterID:749	7	17
ClusterID:750	2	1
ClusterID:751	1	0
ClusterID:752	2	1
ClusterID:753	1	0
ClusterID:754	2	1
ClusterID:755	1	0
ClusterID:756	2	1
ClusterID:757	2	1
ClusterID:758	2	1
ClusterID:759	5	9
ClusterID:760	3	2
ClusterID:761	1	0
ClusterID:762	1	0
ClusterID:763	1	0
ClusterID:764	3	2
ClusterID:765	3	3
ClusterID:766	1	0
ClusterID:767	5	8
ClusterID:768	1	0
ClusterID:769	7	21
ClusterID:770	1	0
ClusterID:771	1	0
ClusterID:772	5	5
ClusterID:773	5	7
ClusterID:774	1	0
ClusterID:775	2	1
ClusterID:776	2	1
ClusterID:777	1	0
ClusterID:778	2	1
ClusterID:779	1	0
ClusterID:780	1	0
ClusterID:781	3	3
