Genes	ids
MLYCD	557
HSD17B11	558
ASH1L	559
ALG1L2	560
AMD1	561
SLC23A1	562
PLD6	563
HS6ST2	564
CYP4F11	565
SLC36A2	566
UGT1A6	567
NDUFA2	568
SLC26A8	569
PFKFB1	570
SMYD3	571
PDHA2	572
LDHC	573
CYP4Z1	574
B3GNT3	575
SLC6A9	576
FPGT	577
HLCS	578
IDH3G	579
SLC8A3	580
CYB5R1	581
CYP3A5	582
NT5C1B-RDH14	583
GPD1	584
TPI1	585
SPCS3	586
SLC1A3	587
SLCO4A1	588
SLC38A4	589
NDUFAB1	590
ITPKB	591
EPX	592
GALNT8	593
HAGH	594
KHK	595
DUT	596
SULT1A2	597
CHKB	598
HGD	599
CHST12	600
SLC11A2	601
LCLAT1	602
PKM	603
HS3ST3A1	604
SLC17A4	605
NT5C2	606
SUCLG1	607
GFPT1	608
SLC27A1	609
MTHFD2	610
ADH1C	611
ST8SIA5	612
ACHE	613
SLC15A1	614
PRPS2	615
ALG12	616
HKDC1	617
ETNPPL	618
COX4I2	619
TMEM91	620
CHPF	621
VNN1	622
AKR1A1	623
NPC1	624
ACAD10	625
SLC19A2	626
HIGD2A	627
SLC34A2	628
MSMO1	629
SLC28A1	630
GANC	631
26062_AT1	632
DHRS9	633
DOT1L	634
SLC9A5	635
PC	636
SLC30A1	637
ZADH2	638
PIK3CA	639
CRAT	640
201288_AT1	641
PLCE1	642
ALDOC	643
PNPO	644
ETFB	645
FOLR2	646
SUCLA2	647
UPP2	648
SUOX	649
644378_AT1	650
G6PC2	651
AICDA	652
PIGA	653
UGT2B17	654
KMT5A	655
CLYBL	656
PFKFB3	657
GCLM	658
SLC1A4	659
ALDH3B2	660
SLC5A3	661
DCK	662
PIGP	663
B4GALT5	664
NDUFS5	665
PGK1	666
RPL14	667
FUCA2	668
SLC22A7	669
NDUFS8	670
FOLR1	671
DECR2	672
G6PC3	673
ALDH6A1	674
BHMT	675
MCCC1	676
PNPLA3	677
XYLT1	678
SLC6A6	679
LOXL2	680
GLCE	681
ARSB	682
FABP5	683
TXNRD2	684
PPCS	685
NT5DC3	686
DGKA	687
ABCD3	688
HYKK	689
ALDH7A1	690
TECRL	691
TSTA3	692
SRM	693
GALNS	694
PLPP1	695
STARD3	696
8781_AT1	697
MDH1B	698
ALOX12	699
SLC2A10	700
SLC22A3	701
SLC12A1	702
GCNT2	703
ACOX1	704
NDUFA4	705
LYZL1	706
ACPP	707
COX6C	708
ADCY3	709
APRT	710
PSAP	711
SLC8A2	712
PDE7A	713
MCEE	714
CYP27A1	715
PAFAH1B3	716
SPCS2	717
GK2	718
PLA2G7	719
SLC25A20	720
CYP7B1	721
SLC12A2	722
SLC1A7	723
CD38	724
ACOT1	725
SGMS2	726
HSD17B3	727
ETFDH	728
ITPA	729
