ACOX1,ECH1,sbcoa
SOAT1,CYP11A1,chsterol
SOAT1,LCAT,xolest2_hs
SOAT1,DHCR7,chsterol
SOAT1,STARD3,chsterol
SOAT1,CYP4V2,chsterol
SOAT1,CYP46A1,chsterol
SOAT1,COQ6,chsterol
SOAT1,DHCR24,chsterol
SOAT1,LIPA,HC02027
SOAT1,CYP27A1,chsterol
SOAT1,HDLBP,chsterol
SOAT1,CYP2E1,chsterol
SOAT1,LOXL2,arachcoa
SOAT1,RPL14,arachcoa
SOAT1,TECR,M00343
SOAT1,TECRL,M00343
SOAT1,GPAM,Rtotalcoa
SOAT1,MOGAT1,Rtotalcoa
SOAT1,MBOAT2,Rtotalcoa
SOAT1,MOGAT2,Rtotalcoa
SOAT1,SCARB1,xolest2_hs
ELOVL7,FABP1,pmtcoa
ELOVL7,ACOT8,pmtcoa
ELOVL7,ACADL,M02052
ELOVL7,SPTLC1,pmtcoa
ELOVL7,ACSL1,M02052
ELOVL7,ACSL3,M02052
ELOVL7,ACSBG2,M02052
ELOVL7,ACOT4,M02052
ELOVL7,ELOVL4,M00862
ELOVL7,ACADVL,M02052
ELOVL7,SCD5,M00116
ELOVL7,SLC27A2,M02052
ELOVL7,ACSL5,M02052
ELOVL7,ACSL4,M02052
ELOVL7,SCD,M00116
ELOVL7,ELOVL1,M00862
ELOVL7,SPTLC3,pmtcoa
ELOVL7,SLC27A4,pmtcoa
ELOVL7,PIGW,pmtcoa
ELOVL7,ELOVL3,M00862
ELOVL7,ACSL6,M02052
ELOVL7,SPTLC2,pmtcoa
ELOVL7,SOAT2,M02052
ELOVL7,CPT2,M02052
ELOVL7,SLC27A1,ttccoa
ELOVL7,ABCD2,docoscoa
ELOVL7,ACSBG1,M02052
ELOVL7,344967_AT1,M02052
ELOVL7,HSD17B10,3ohodcoa
ELOVL7,FADS1,lnlncacoa
ELOVL7,FADS2,lnlncacoa
ELOVL7,FADS3,lnlncacoa
ELOVL7,ACACA,malcoa
ELOVL7,LOXL2,malcoa
ELOVL7,ACACB,malcoa
ELOVL7,TECR,M02052
ELOVL7,TECRL,M02052
ELOVL7,HSD17B12,M00862
FABP1,ACOT8,pmtcoa
FABP1,ACADL,pmtcoa
FABP1,SPTLC1,pmtcoa
FABP1,ACSL1,M00265
FABP1,ACSL3,M00265
FABP1,ACSBG2,M00265
FABP1,ACOT4,M00265
FABP1,ELOVL4,pmtcoa
FABP1,ACADVL,pmtcoa
FABP1,SCD5,pmtcoa
FABP1,SLC27A2,M00265
FABP1,ACSL5,M00265
FABP1,ACSL4,M00265
FABP1,SCD,pmtcoa
FABP1,ELOVL1,pmtcoa
FABP1,SPTLC3,pmtcoa
FABP1,SLC27A4,M00265
FABP1,PIGW,pmtcoa
FABP1,ELOVL3,pmtcoa
FABP1,ACSL6,M00265
FABP1,SPTLC2,pmtcoa
FABP1,SOAT2,pmtcoa
FABP1,CPT2,pmtcoa
FABP1,SLC27A1,M00265
FABP1,CEL,M02053
FABP1,SLC27A5,CE2510
FABP1,LIPA,M02053
FABP1,ABCA1,M00265
FABP1,ATP8A1,pe_hs
FABP1,PLA2G6,pe_hs
FABP1,PLA2G2F,pe_hs
FABP1,PLA2G4A,pe_hs
FABP1,PTDSS2,pe_hs
FABP1,PLD3,pe_hs
FABP1,PIGO,pe_hs
FABP1,PLD1,pe_hs
FABP1,EPT1,pe_hs
FABP1,PLA2G3,pe_hs
FABP1,PIGN,pe_hs
FABP1,LCAT,pe_hs
FABP1,PISD,pe_hs
FABP1,PIGF,pe_hs
FABP1,ATP10A,pe_hs
FABP1,PLA2G2A,pe_hs
FABP1,PEMT,pe_hs
FABP1,PLA2G5,pe_hs
FABP1,PLA2G12A,pe_hs
FABP1,CEPT1,pe_hs
FABP1,ABCB4,pe_hs
FABP1,PLD2,pe_hs
FABP1,PLA2G4E,pe_hs
FABP1,PLD4,pe_hs
FABP1,PLA2G4B,pe_hs
FABP1,PIGG,pe_hs
FABP1,CD36,M00265
FABP1,FABP5,M00265
FABP1,FABP2,M00265
FABP1,FABP9,M00265
FABP1,FABP4,M00265
FABP1,FABP12,M00265
FABP1,FABP6,M00265
FABP1,FABP7,M00265
FABP1,FABP3,M00265
FABP1,SLC16A1,but
FABP1,SLC27A3,M00265
FABP1,SLC27A6,M00265
FABP1,SLC5A8,but
FABP1,PRDX6,5HPET
FABP1,GPX5,5HPET
FABP1,GPX7,5HPET
FABP1,GPX6,5HPET
FABP1,GPX2,5HPET
FABP1,GPX1,5HPET
FABP1,ALOX5,5HPET
FABP1,GPX3,5HPET
FABP1,GPX8,5HPET
FABP1,GPX4,5HPET
FABP1,ACSBG1,M00265
FABP1,344967_AT1,M00265
ACOT8,ACADL,hpdececoa
ACOT8,SPTLC1,pmtcoa
ACOT8,ACSL1,hdca
ACOT8,ACSL3,hdca
ACOT8,ACSBG2,hdca
ACOT8,ACOT4,ibup__S
ACOT8,ELOVL4,pmtcoa
ACOT8,ACADVL,5eipencoa
ACOT8,SCD5,pmtcoa
ACOT8,SLC27A2,cholate
ACOT8,ACSL5,hdca
ACOT8,ACSL4,hdca
ACOT8,SCD,pmtcoa
ACOT8,ELOVL1,pmtcoa
ACOT8,SPTLC3,pmtcoa
ACOT8,SLC27A4,hdca
ACOT8,PIGW,pmtcoa
ACOT8,ELOVL3,pmtcoa
ACOT8,ACSL6,hdca
ACOT8,SPTLC2,pmtcoa
ACOT8,SOAT2,pmtcoa
ACOT8,CPT2,pmtcoa
ACOT8,CYP4F2,hdca
ACOT8,PGAP1,hdca
ACOT8,CEL,hdca
ACOT8,SGPL1,hdca
ACOT8,ABCA1,hdca
ACOT8,SLC27A1,hdca
ACOT8,CYP4A11,hdca
ACOT8,SLC27A5,cholate
ACOT8,CLPS,hdca
ACOT8,CYP4F3,hdca
ACOT8,SLC27A3,hdca
ACOT8,LIPA,hdca
ACOT8,ALAS1,succoa
ACOT8,MUT,succoa
ACOT8,OXCT1,succoa
ACOT8,SUCLG1,succoa
