T,NT,Study
119.68471321001401,121.47786792757613,Study A
1302.8241147004017,1241.2363641079055,Study A
99.950423344648,100.84791861850906,Study A
86.1735185689555,74.46086532262474,Study A
228.72866511429524,235.92617326706664,Study A
1691.7444430482592,2037.033573215415,Study A
383.4921271825653,359.4283415977738,Study A
728.0555910677592,692.4468803484226,Study A
132.6307087593433,166.12415546830778,Study A
453.34397837444743,503.9584119349589,Study A
274.26470481345837,269.39799533497575,Study A
299.26272865890047,288.6884757767573,Study A
687.592120878987,609.1642952134507,Study A
169.6209823300058,187.16035079597196,Study A
154.00784461574912,129.9829924827141,Study A
924.7309105548794,837.4650720449015,Study A
506.2408511218801,488.28204514859925,Study A
1452.7824248393113,1593.781777508788,Study A
91.07133717257982,80.51684886033374,Study A
2405.3482527997917,3208.17181156312,Study A
13.34623512233038,11.029405563119095,Study A
157.79442858797776,140.3044177572109,Study A
2.5769069014980857,2.19235188766678,Study A
123.76913660431113,132.58561850991202,Study A
488.2717404375672,484.2662178386752,Study A
452.52364223894966,499.07444300439965,Study A
237.29907961876467,255.54255847816958,Study A
6191.583920348666,7095.592479817004,Study A
5232.717327738519,6001.518274377727,Study A
521.8530387607929,492.00206823687193,Study A
1114.9406516784702,1345.066929846758,Study A
772.2031422267954,778.1835336365624,Study A
1533.0316918345418,1692.4667849752284,Study A
376.89449631159385,402.79898231170705,Study A
651.885817706591,658.6146487564569,Study A
123.93880323176998,175.7282331596464,Study A
441.89165304214595,548.5881754861417,Study A
2057.7715131327172,2612.609017223117,Study A
2587.1383265806444,2874.4523828899514,Study A
19675.397105284148,20650.480535866296,Study A
77.02479958824856,63.528604470428,Study A
239.87276771410407,274.9871662999294,Study A
125.5204641594747,123.75478965836555,Study A
1538.4175644161448,1415.9750102060889,Study A
3460.8205466825393,4327.5860462762585,Study A
1680.195977690549,1861.430181625689,Study A
246.55845549747178,233.64399543176742,Study A
662.8500750005117,731.6661662293056,Study A
189.1928316115484,214.32964460207435,Study A
544.4199194976691,508.72138860103007,Study A
18.654333040343296,18.030476721383774,Study A
487.35941246749326,534.955368177025,Study A
331.05768961873434,303.63487883007707,Study A
99.19593485920036,84.905072609204,Study A
56.00440678217619,74.43216379132072,Study A
1.597808556664562,1.6684773004218596,Study A
6.689212759179473,6.03323017730691,Study A
160.1432472487272,159.54126093754155,Study A
133.14536458626083,130.75342758559012,Study A
3176.2885912137995,3037.5589595331858,Study A
148.53269880796432,133.3661769562796,Study A
132.9580345014206,144.96253045574255,Study A
401.62799776099973,401.0773158875569,Study A
11.626927447991182,9.948489835821539,Study A
1413.8160959628406,1270.0568535167445,Study A
478.8854108071472,672.7885490056595,Study A
1280.722203551867,1517.494092412878,Study A
1441.3686284926066,1544.6829588366459,Study A
452.73179289938815,536.5079498333292,Study A
149.9361644209937,149.18560610811147,Study A
866.5378798953515,950.4414188496924,Study A
1292.7052775577483,1426.4275240850416,Study A
1201.741558823897,1392.0749872284841,Study A
124.70482086140576,154.15588081301885,Study A
3.4622946587992787,6.0889284141090725,Study A
480.3669412491196,464.6536903376812,Study A
