Expression,Study
42.77207373483971,Study A
100.53982907598572,Study A
413.9834069566161,Study A
205.70088491362134,Study A
37.052726824945346,Study A
29.55666134318387,Study A
233.46459828895868,Study A
5770.325178941269,Study A
1528.8290062797637,Study A
7.904668047077949,Study A
1416.8264074630729,Study A
67.91785119574806,Study A
2658.235144485049,Study A
799.6256314703282,Study A
1027.5292102383269,Study A
175.63269188689395,Study A
209.31206560780356,Study A
569.2569186811469,Study A
260.4082079494807,Study A
137.97335510381532,Study A
977.8886892340379,Study A
208.37146060315175,Study A
222.06032722748844,Study A
70.9481224805019,Study A
364.57906197485414,Study A
408.6897751234768,Study A
7.555228425058245,Study A
61.405265021568646,Study A
42.13606867096296,Study A
9.461135514188616,Study A
177.91480361034806,Study A
37.379469412803736,Study A
1437.7686323750315,Study A
287.1806420463798,Study A
148.804297082469,Study A
1205.1898989022789,Study A
7.27926709125126,Study A
271.8411707690062,Study A
0.4174656394860939,Study A
1103.2612768801298,Study A
595.1066623001643,Study A
257.5453497998439,Study A
718.0440911805733,Study A
229.73704569594173,Study A
34.599924070286995,Study A
182.23562018033243,Study A
309.77011328657943,Study A
876.1296453269213,Study A
472.00131940886445,Study A
625.7317163889655,Study A
1225.8792650705384,Study A
843.5369821794974,Study A
166.29995564317656,Study A
23.11303843100834,Study A
0.1603357812041369,Study A
65.19730967954912,Study A
49.95364650546332,Study A
224.3835622815345,Study A
127.05269107914661,Study A
478.8931077349714,Study A
49.3844465574881,Study A
635.784571674079,Study A
3.3924943339249483,Study A
353.6367119988041,Study A
425.96053319619716,Study A
439.77523455887496,Study A
824.097339497497,Study A
553.0315140389558,Study A
206.79506787503036,Study A
426.33294516552104,Study A
2.5742228111261225,Study A
24.59069156784018,Study A
1521.112525868199,Study A
3721.625462701174,Study A
420.50772150456584,Study A
110.42447652438908,Study A
788.2023151048035,Study A
436.60888186573067,Study A
4.412946133780065,Study A
142.5779370937681,Study A
191.6269977624701,Study A
66.45912942870041,Study A
25.184512825934288,Study A
6.475900356577037,Study A
6.650299470088412,Study A
391.78026497302403,Study A
610.0782705101104,Study A
148.7712873769754,Study A
364.7805228646822,Study A
205.84190395443508,Study A
68.92743798002725,Study A
70.17525532149368,Study A
311.8711266430735,Study A
177.59422270294536,Study A
89.47478260359802,Study A
241.26613855924438,Study A
2.1755612086966036,Study A
139.977849653962,Study A
729.6735761475347,Study A
121.55288525656098,Study A
142.4985952942286,Study A
133.04128328485697,Study A
0.1575477803918032,Study A
1060.7067750783642,Study A
1393.954818951904,Study A
1981.2937719397246,Study A
2720.022443281122,Study A
1127.0851003128737,Study A
872.117434855553,Study A
749.9080174403728,Study A
240.30514892613783,Study A
902.7880577833732,Study A
7.58801198670598,Study A
8.742849712577467,Study A
348.1179568178327,Study A
1103.8570302396656,Study A
810.6338368717777,Study A
190.9259167586147,Study A
1010.5771367741144,Study A
427.51241823514573,Study A
11.936548449171013,Study A
121.72819719389932,Study A
9.950337854680143,Study A
671.1233712535794,Study A
336.156110429684,Study A
862.291010768492,Study A
5.646137244620332,Study A
138.43729548518124,Study A
56.56278661145566,Study A
35.93595822487287,Study A
66.39998866501519,Study A
10.404799871465062,Study A
109.61724101648981,Study A
64.75765433511296,Study A
40.64079938066052,Study A
231.33232654521652,Study A
454.10170125900726,Study A
2.9897384312834103,Study A
1017.8994363372117,Study A
804.3590310569514,Study A
74.66736677977048,Study A
336.216318922795,Study A
46.63519804492073,Study A
170.88423318738,Study A
203.15704508106884,Study A
701.0974908807667,Study A
1.0084573076923027,Study A
4.436192887081267,Study A
543.3327543562743,Study A
11.00146481877154,Study A
0.5544008928528195,Study A
12.080167883348263,Study A
124.96239531514722,Study A
12.699660163714796,Study A
15.69952892392691,Study A
256.45255652206026,Study A
83.60422105053298,Study A
1.1016582146666773,Study A
441.9339861336026,Study A
181.34761962971078,Study A
266.7718403454582,Study A
121.11606408644299,Study A
316.6998836848976,Study A
1294.4851712073114,Study A
301.3763866202502,Study A
6.552932343537985,Study A
208.27412203635828,Study A
0.12957891747205433,Study A
24.927978453919398,Study A
