Expression,Study
15.816869150254792,Study A
8.026974688625616,Study A
41.985175301573925,Study A
4.610920661141973,Study A
23.155630509067592,Study A
1.0117720876185712,Study A
1401.9729093593548,Study A
560.636982978763,Study A
7106.542595254388,Study A
996.0655778773155,Study A
1096.6737326613231,Study A
3344.297345220744,Study A
58.91152163901452,Study A
22.929037513113766,Study A
8045.522857898677,Study A
6740.083788954934,Study A
656.2672108850871,Study A
2.974661528367808,Study A
1408.6021678555446,Study A
6.376305393282841,Study A
539.6486271399934,Study A
2112.874590557515,Study A
1537.0171410066957,Study A
9.649572620333048,Study A
3846.893421449657,Study A
49.28430158924098,Study A
53513.119561964355,Study A
18.422133120897342,Study A
33003.50110005655,Study A
28.54628718379743,Study A
284.7814944219062,Study A
14.387956115148757,Study A
299.0192267901463,Study A
2.1995719108888774,Study A
0.7998170804267868,Study A
0.43166959890339834,Study A
1.162240253056323,Study A
2347.20319717129,Study A
7.750289341650781,Study A
14.018408276309685,Study A
6.158677152468191,Study A
2575.1322954805973,Study A
366.42310710189514,Study A
1445.4093455500804,Study A
1152.6997094757357,Study A
848.7885779614577,Study A
843.0231392851542,Study A
144.16675073736394,Study A
122.04113885937666,Study A
181.7403762019534,Study A
74.87692557803689,Study A
277.46731466307347,Study A
40.584526871444744,Study A
305.68693630350253,Study A
732.3334152331709,Study A
10.986226207277996,Study A
177.5181625130627,Study A
234.2234510579528,Study A
26.53746433455901,Study A
266.24838332913697,Study A
3944.185040276945,Study A
413.8885468932773,Study A
72.69753933127325,Study A
212.216968669839,Study A
184.7086802370588,Study A
0.08920289007732593,Study A
7.4291368320521105,Study A
117.16358683083378,Study A
505.11969418728717,Study A
34.394576179444975,Study A
85.99372786469897,Study A
848.0843399169498,Study A
331.4271046842676,Study A
459.9067167046111,Study A
1.2823685001756664,Study A
16.776825962632685,Study A
1.3147177515978616,Study A
27.32934071646023,Study A
152.4248695874092,Study A
36.19507835103682,Study A
3.8983552941356834,Study A
31.020162814264264,Study A
154.88927453672812,Study A
1.1711406677204836,Study A
0.23715218900914,Study A
219.44845465697745,Study A
105.0472993139942,Study A
3.2201693128649334,Study A
1549.8063043316076,Study A
390.5937388557778,Study A
56.736850517183846,Study A
455.8164533529881,Study A
81.29473273760459,Study A
96.91555300305039,Study A
15.68069702470651,Study A
78.55937469114653,Study A
46.35599375597564,Study A
15.34211116862374,Study A
0.48741141645587405,Study A
888.1971915143156,Study A
0.28417131245242727,Study A
27.824519336622572,Study A
936.322620868417,Study A
51.67897267197147,Study A
37.45366662359056,Study A
203.635338771595,Study A
0.8413108195689429,Study A
20.40421477943844,Study A
570.9029290747809,Study A
26.560090367964865,Study A
21.97961362592181,Study A
99.27221665046933,Study A
1128.921572166609,Study A
169.66724260967817,Study A
982.7765500552779,Study A
21.85892627612324,Study A
52.705204553460966,Study A
130.2034725246967,Study A
150.731598043423,Study A
2628.834494988131,Study A
337.0822326097487,Study A
4.9021841817134915,Study A
0.1202667778783495,Study A
138.759087855186,Study A
255.98679069153906,Study A
76.91109293807044,Study A
194.25007142945194,Study A
303.3930583678801,Study A
259.3449606244459,Study A
135.88451253015134,Study A
87.6236942840697,Study A
83.13567537523008,Study A
27.255669511121386,Study A
286.44607837692604,Study A
203.0306403171702,Study A
129.7191430562578,Study A
604.8850735433726,Study A
96.4584627565645,Study A
9.235100688013123,Study A
404.79673848536413,Study A
15.680491338469096,Study A
8.416637615365032,Study A
2182.6449416222395,Study A
55.110435571899295,Study A
397.6576850389869,Study A
10.562103082925528,Study A
5.170855746477809,Study A
508.8785812102949,Study A
769.2795841564044,Study A
12.90750733597442,Study A
31.432762423709505,Study A
14.313500170165526,Study A
231.7278676323433,Study A
20.305768683578158,Study A
30.31151835584098,Study A
130.5915381900422,Study A
2.639784342093353,Study A
19.637900557842393,Study A
813.3612350623234,Study A
29.63985078126012,Study A
1.6454628323415397,Study A
17.252886605893636,Study A
1.4930621316037682,Study A
279.92520983859464,Study A
305.6590941416536,Study A
36.049451834537074,Study A
143.75226842550694,Study A
1.6575294392635487,Study A
105.48540977047112,Study A
834.9163997211631,Study A
88.26444096369964,Study A
