gene,t-statistic,adj_p-value,effect size
BEX1,3.481398365098699,0.000985515436250874,0.623563614151554
SRGAP3,3.462439082046893,0.0010043739634462965,0.6235695493669237
MTX3,3.4203061948260474,0.0010628256890312972,0.6235943246875687
CCNJ,3.42538453855794,0.0010525712490243265,0.6237805450485692
RCN2,3.4687433137943224,0.000992278310457005,0.6239981711530416
FANCE,3.4680433655771417,0.0009925163261123224,0.6240396740826003
EGFL8,3.34981619438931,0.0012143612943721312,0.6243241122347745
DNMT3B,3.4972456216512575,0.0009618124586284178,0.624380094670839
ATP6V0E2-AS1,3.4654826341368015,0.0009908540556885644,0.6244105881780697
LMOD1,3.488181883019013,0.0009678076196053075,0.624468363700138
CDC23,3.4176682350107854,0.0010575694192837197,0.6246041645031247
METTL8,3.4482449224566607,0.0010098565048114279,0.6246133449570221
DMRT2,3.500853088707526,0.0009551397340996,0.6246797505895686
SMYD3,3.480314840020746,0.0009696165219307186,0.6248858258291424
ABL2,3.363108909129299,0.0011740580236264194,0.6249580207936953
AP4M1,3.333779675485927,0.0012585629061259028,0.6250025501999489
LINC00511,3.4931247321418204,0.0009565162924875247,0.6250194001168345
HMGCS1,3.466962610013018,0.000981431480277311,0.6250688266915291
BLMH,3.443519865508589,0.0010104259143675902,0.6251780390948074
LIG3,3.46079025239272,0.0009869274391393608,0.6252243912899597
UNK,3.4148947437940604,0.0010567260485678722,0.6252383107276005
NOA1,3.409901536323739,0.001065918289580159,0.6252574652717539
SLC7A14,3.4646763452268594,0.0009814870756913114,0.6252930841937858
LINC00654,3.4832932708833337,0.000960807715917482,0.6253669965475124
ZNF707,3.358223687030179,0.001183868507421991,0.6254811096865718
AP3B1,3.43876064360194,0.001013662963385018,0.6255512709845648
DUT,3.3953362810611534,0.0010925714937292156,0.6256029569361039
P2RX1,3.4526371941276923,0.0009908390903045528,0.6258276740175265
DENND4B,3.373765167476683,0.0011398931626218052,0.6259849062389706
STK25,3.4115916631049785,0.0010546995232324388,0.6261833897554455
DDX12P,3.463679764087297,0.0009725833326179979,0.6261953609500664
CLCNKA,3.4490472487507993,0.0009903442243666546,0.6263562035439384
POLD1,3.4982789032756845,0.0009332395756199842,0.6265088418440629
KIF7,3.500471810301469,0.0009307747262071006,0.6265615331726968
GPR25,3.479008603815624,0.0009508285441569709,0.6265647492402181
DHX35,3.438485776517814,0.0010031656308815164,0.6266670492890026
SLC6A4,3.5164578723845277,0.0009163348304861622,0.6267815063147859
EP400,3.37535629144175,0.001129710234922908,0.6269292306439711
STARD3NL,3.408916556254741,0.001053284127259194,0.6269964232512841
C2CD2,3.3923328185291526,0.001088416436549889,0.6270306743504434
TRIM71,3.517824453040611,0.0009105385470624142,0.627152396181236
NELFE,3.3998165982555335,0.0010709195716260148,0.6271646013697644
FAM184B,3.351756821554143,0.0011926081365154734,0.6271980653457092
MANBA,3.3948659121156646,0.0010810748257986103,0.6272597855458957
NECAB3,3.4626292501460822,0.0009621046791840248,0.6273000254467791
PRPSAP2,3.4112127689852882,0.0010461542209429919,0.6273138668219538
MARCKSL1,3.442599625948028,0.0009871562857776256,0.6276767862228645
SUFU,3.438218554080988,0.0009940891504907152,0.6276870362888647
GYS1,3.468874964156073,0.0009490085061500975,0.6277921176853434
PIAS3,3.4496568887751784,0.0009735469431198541,0.6279714410098053
EFNB2,3.4336861384156214,0.0009976688138885633,0.6281374957674979
RABL6,3.4640682461662258,0.0009515007675831114,0.6281492083477754
CLK2,3.369370144951136,0.0011378954353508817,0.6281597940079998
FOXQ1,3.4024537243892707,0.0010574732661061065,0.6282195298169924
TRAF7,3.426424510656364,0.0010075847810704244,0.6284871813206097
GHDC,3.4209252042009908,0.0010176288970747966,0.6285168016222257
ZNF169,3.3412188010479427,0.001218796122294316,0.628538827278649
COL9A3,3.5247044590790413,0.0008879129919456026,0.6285507779054778
SH3RF3-AS1,3.322532296068116,0.0012818497631546626,0.6285811259248726
TMEM216,3.496096653606508,0.0009097479124893784,0.6286361763370315
NARF,3.41429060900009,0.0010293686964510946,0.6286795542488368
CD300LG,3.514849697381339,0.000891192506791671,0.6288394881751599
FLYWCH2,3.4328764016503674,0.0009910026083237756,0.6290888963508222
HEPACAM,3.5294128665300044,0.0008739011832680461,0.6294153022285991
SAMD15,3.516732584003627,0.0008790816399690324,0.6297235328723043
FAM201A,3.525154496720337,0.000872253125861916,0.629773886960643
RNFT2,3.5232701521484935,0.0008728246850795435,0.6298359898933275
TSPAN18,3.51770936197229,0.0008758190634205171,0.6299340588968214
ANKMY1,3.400139488029825,0.0010501598058445351,0.6300505728336813
DCAF16,3.4882428451943484,0.0009008611322363871,0.6302087546413367
C19orf67,3.4884482372596812,0.0008996724243372253,0.6303014322652958
CACNA1B,3.529787012949397,0.0008599527410268963,0.6305208220264922
EVI5L,3.4597970584888276,0.0009348716371993822,0.6305277043441218
CCND2,3.522983330202468,0.0008629908687650727,0.6306769190811601
EDC3,3.455882005276999,0.0009376648653963747,0.6308866360748808
PLAGL2,3.522103807018634,0.0008591221133534218,0.6310680974250402
RAB11FIP2,3.455535371144317,0.0009362762677888775,0.6311120631859741
CHAF1A,3.5260366421413565,0.0008555365303106465,0.6311166355669595
WAC-AS1,3.403447437533343,0.0010358814271393367,0.6311201012295243
LYZ,3.5308922432418135,0.0008511000236057072,0.63119458081243
ZKSCAN4,3.395927914503201,0.0010516739761961841,0.631432936798813
C5orf34,3.526851349645389,0.0008509176009251824,0.6314613141532474
GLT8D1,3.4225420448625914,0.0009924767552874135,0.6314778699193832
CPA1,3.5080162580432797,0.0008663881910026779,0.631524793471829
BTBD7,3.414086465424352,0.0010068193702212928,0.6319844828233974
NAALADL1,3.5227724499501636,0.0008470681768175648,0.6320864379088116
MAPK7,3.459244502654876,0.0009221271323467916,0.632107801917012
ZC3HAV1L,3.504868455692516,0.0008632275798115574,0.6321254707076503
ZNF248,3.4468293516660253,0.000941902571046292,0.632183522444822
NFAT5,3.4457576406925527,0.0009430225094194914,0.6322795996487778
NUP93,3.5094837815417304,0.0008561810192248455,0.6323589969570412
CDCA7,3.5501843364545893,0.0008240186694635355,0.6324355643911806
ZNF77,3.448741598784168,0.0009340435448544088,0.6327810414477228
PSKH1,3.4635561443700005,0.0009098377317880806,0.6327887835181378
B3GNT5,3.408008624597317,0.0010151372993259806,0.6328489850646011
KRT222,3.460960056137538,0.0009115054938147757,0.6330829928704752
TP53I3,3.542716342089348,0.0008203695833564974,0.6331292260454398
PCDHB6,3.486251840575735,0.0008742752712303239,0.6332066787947879
GRAP2,3.460197066927486,0.0009084791513596469,0.6336230604013291
MYT1,3.522133848161243,0.0008292263528109791,0.6338052512120476
TMEM107,3.4805255537814253,0.0008759287745125107,0.6338878999783285
