,t-statistic,p-value,effect size
13596,2.504033904040272,0.015126909038917634,0.4610560414614408
7420,2.4542738500359116,0.016514757267015425,0.4610656839281617
11847,2.3814985478229014,0.019318164327594554,0.46108629744555013
13298,2.423026946201728,0.01759663651489937,0.46114235567703005
18896,2.437457287852259,0.017072860441233774,0.46115729750932266
16962,2.427570076959007,0.017426718186975672,0.4611699665463199
9560,2.4209394280379115,0.017672417520226434,0.4612155472229414
3885,2.4263278539854647,0.01746750228580512,0.46128497194617024
19515,2.4838024915560175,0.015614221627448048,0.4614562002591858
6844,2.4856125040028916,0.015560443673072806,0.4615195854417266
5021,2.424901749521187,0.0175072412256581,0.46160016789454067
6233,2.4813822896661115,0.015662511123256794,0.4617182046035657
14784,2.504598797073213,0.015057993735785574,0.4617288061531499
465,2.5265970208987083,0.014552583491676931,0.4618372456272737
11180,2.4576085506862055,0.016360392939439215,0.46189946123120085
11256,2.4745370672429505,0.01584188563151759,0.4619472226097082
11039,2.398660034147853,0.018541866861630715,0.4620004206382126
1207,2.4108008417654725,0.01803480557262938,0.46214862089595476
17836,2.4447646589288476,0.016764919434746697,0.4622756511872508
1168,2.4174402362523333,0.017764182519415563,0.46234911148083524
5255,2.52191895224681,0.014601118896714829,0.4624132816825841
1434,2.4331809727084535,0.01716682177892546,0.4624273353047769
17769,2.4113393875833276,0.018003981531087315,0.46242894117436495
8575,2.4917099772386657,0.015330927412504494,0.46243454799560507
6866,2.48321743236118,0.015555455356437476,0.4625339948263201
14969,2.495145838799005,0.015229309446369688,0.46258816806504105
13212,2.533800636005174,0.014331597499216333,0.46262312168883857
16986,2.4399535617424184,0.01691434825030272,0.4626508153653272
18835,2.443762235992087,0.016778121851248985,0.46271717140080476
6525,2.4693099962810097,0.01594312996238669,0.46281363695097766
7662,2.51359351370613,0.0147547773878926,0.46282560653606397
7317,2.4550714784827457,0.016383192820145883,0.4629876752337344
17435,2.4284789990588083,0.0173160933677556,0.4630219639783952
6558,2.5352154497923527,0.014263327343436053,0.4630520658076446
14170,2.4481135442555626,0.016610252491131308,0.4631012359897557
9261,2.460306056916064,0.016207255427995067,0.46310529291430097
6990,2.3165746503112783,0.022729374966552657,0.4631424671253625
11380,2.4586495360839753,0.016257355294860297,0.46316424612427803
17099,2.431899889390374,0.017182859607642705,0.463171320534286
16113,2.449935440737034,0.01654417832837668,0.463188422261952
1240,2.456887068585256,0.016307178012651677,0.4633058585807336
13786,2.431904580452478,0.017177124475090542,0.46331074730141497
5872,2.534736624538117,0.014246003240473428,0.4633493614450934
15336,2.5301135820497085,0.01433657144936841,0.4634152771247768
13969,2.4635596301487257,0.016086423831516938,0.46342315234207226
16468,2.4750298572232263,0.01573278119609288,0.46345475015406246
12675,2.5018452412423473,0.014992050572609744,0.4634662889921391
2311,2.4773170722420272,0.01565889594968621,0.4635573881131972
19384,2.3803225753569257,0.019328700673466984,0.46359552901537593
6068,2.424140351639716,0.017458853285462813,0.4636247752936332
10871,2.4397862968109796,0.01687727521285933,0.46362583962349413
8221,2.4939440925378675,0.015174287690173092,0.4638139161294884
8126,2.5408403870727834,0.014080084092934658,0.463818104141165
13355,2.4073798716012456,0.01812593639521268,0.46381863466909523
361,2.4956360612404844,0.015128489357058766,0.46382148863504735
12669,2.4652413925685575,0.016008460920386852,0.4638788922716442
13603,2.4283270180138867,0.01728854898104276,0.46390950180038776
9218,2.416140797773437,0.017763726091606317,0.4639357266203031
15867,2.519518840480857,0.014526124618751479,0.46394832710503836
14196,2.4621924902066814,0.016100721908835616,0.46396887615576193
19256,2.4222576290070523,0.017519998736658125,0.46397695231616926
18673,2.4915048428925544,0.015229131631655114,0.463981387857406
382,2.489255727060642,0.01529092959022973,0.4639833460852549
17084,2.53544544119342,0.014167525927390439,0.46406444283759146
6543,2.4679528853510706,0.015912063325436248,0.46408622947584344
9194,2.4833340821183625,0.015450195371014124,0.46410535693983335
2320,2.525934261207224,0.014367542996085836,0.46411335156327543
4623,2.423127339058482,0.017480213873340096,0.4641539062800609
2315,2.536663361269907,0.014131491820147675,0.46418701036332105
3622,2.470840217694527,0.01581437188057119,0.46423386611527
7955,2.5039900246765816,0.014880945824057178,0.4642413742287457
