gene_symbol,GSM2388498,GSM2388499,GSM2388500,GSM2388501,GSM2388502,GSM2388503,GSM2388504,GSM2388505,GSM2388506,GSM2388507,GSM2388508,GSM2388509,GSM2388510
SKAP2,1.99131,2.19299,55.56212,2.81317,7.96722,1.09116,8.74303,12.41485,0,18.18042,0.31784,10.56613,32.31773
SLC25A5,16.49939,71.90691,38.29128,45.51311,0.26557,250.84449,5.70598,158.10981,115.24107,75.249,182.27913,21.6237,14.42756
MCUB,0,0,0,2.41129,1.0623,0,0,0.51301,0,6.92976,0,0,0
HOXA11,0,0,0,0,0,0,0,0,0,0,0,0,1.44276
POLR2J,4.69379,45.2448,0,3.81788,2.39017,63.16577,26.78129,443.13839,7.53095,22.82743,102.02546,0.24572,2.01986
DHX33,0.14224,8.65653,15.22561,0.70329,19.65247,0.24248,0.2761,16.10853,10.68344,0.97832,27.33392,24.08094,16.44742
MEOX1,0,0.11542,0,0.50235,0,0.12124,0,0.2052,0,5.29923,0.79459,0.12286,0.28855
THSD7A,3.27143,4.73224,32.61008,17.6828,3.18689,0,11.50399,0.1026,0,27.71902,0.15892,0,19.91003
LIG3,83.91931,63.25038,16.5891,6.02823,34.52461,0.6062,5.42988,6.56653,21.19175,1.63053,15.57398,109.34714,90.60506
RPAP3,18.63293,19.96773,20.45231,0.60282,0,11.03279,1.01235,28.42078,16.98843,9.04945,0.31784,43.73886,28.56656
ACSM3,2.56025,45.2448,42.60899,5.92776,11.68525,4.48586,3.86534,2.35985,27.32159,1.63053,170.51919,145.71428,3.17406
LOC81691,0,0.92336,0.34087,0.20094,2.65574,0.84868,0.09203,0.61561,0.35028,0.08153,7.94591,14.98916,2.30841
CIAPIN1,0.56894,0.23084,0,12.25739,3.18689,2.30355,1.28845,18.98139,0.87569,0.32611,3.4962,2.21152,9.81074
SPPL2B,0,4.38598,1.13624,12.86022,6.63935,88.38358,0.64422,15.69812,1.05083,11.25066,90.58335,43.00168,18.17872
FAM214B,0.14224,0,11.58964,1.60753,1.32787,26.43021,22.08767,17.03195,0,8.31571,3.4962,0,5.77102
COPZ2,2.41801,6.2327,0.79537,9.44422,0.26557,8.97172,0.46016,1.53903,90.54655,0.24458,0.63567,0.12286,1.1542
PRKAR2B,0,39.35835,6.02207,52.04369,1.0623,8.24428,0,0.1026,0.35028,0.16305,0,0.49145,0.86565
MSL3,0,6.00186,0.22725,26.32326,0,24.61162,0.18406,11.79924,0.17514,14.02257,20.34152,0.49145,14.71611
CREBBP,6.6851,1.1542,0.79537,80.87871,102.24596,24.12666,8.19084,300.5215,0.17514,34.56725,142.70851,256.4129,107.34103
TSPOAP1,0.14224,0,4.65858,21.19926,5.84263,147.54845,0.2761,62.27946,0,2.20122,14.30263,41.03589,23.08409
MPO,0,0,0.79537,0,0.53115,3.87966,13.34463,0.1026,2.62708,0,0,0.12286,4.32827
PON1,104.82802,316.71357,42.38174,0,8.23279,19.6408,88.71879,2.46245,22.24258,11.33219,71.35425,4.91448,3.17406
GCFC2,3.98261,0,0.4545,5.52587,7.1705,3.03099,0.64422,15.39031,1.92652,27.39292,40.52413,5.52879,12.11915
WDR54,1.5646,0.11542,0,0.30141,0,0.6062,0.73626,4.30929,0,0,0,20.0265,0.5771
CROT,10.80995,50.90039,1.47711,5.32493,10.62296,22.06559,12.70041,20.41781,0.35028,28.77887,0.47675,49.88195,5.19392
ABCB4,7.11181,145.66054,24.08828,19.49127,24.69837,99.41638,27.60958,55.61033,5.07901,164.0314,3.17836,268.82196,19.04438
KMT2E,33.56772,343.14484,14.31662,117.04807,81.00005,76.38088,7.63865,116.96637,0.17514,10.92456,110.76596,1.35148,116.57467
RHBDD2,0.99565,22.96866,19.99782,74.4486,11.95083,166.46181,24.29643,330.89171,164.10468,25.02865,414.61748,124.82775,9.81074
SOX8,0,0.80794,0,6.1287,0.53115,1.21239,3.86534,0.2052,0,3.91327,4.13187,0,0
IBTK,16.35715,12.92708,30.22398,19.49127,0.26557,1.09116,63.50204,0.2052,56.39457,4.64701,75.32721,32.68128,12.4077
ZNF195,0.71118,17.08222,0.4545,316.88378,2.65574,13.94254,6.81036,0.41041,3.85304,2.85343,3.81404,1.35148,12.4077
MYCBP2,29.1584,71.21438,13.86212,4.21976,0,0,4.04941,0.1026,0.17514,1.87511,31.94255,1.59721,32.02918
FBXL3,20.62424,36.242,126.5771,80.27588,0.79672,0.72744,6.16614,5.43791,0.35028,13.12577,13.9848,0.12286,9.23364
ITGAL,1.84907,18.35184,0.11362,0.60282,39.03937,0,2.48486,283.07914,0.17514,16.71294,28.92311,54.18212,45.59108
PDK2,1.42236,28.50884,12.83951,11.75504,6.63935,50.92058,2.0247,45.76053,30.82436,3.9948,5.72105,1.10576,16.44742
ITGA3,0,6.34812,1.70436,9.34375,1.32787,16.85229,0.18406,104.14111,22.76799,33.1813,0.95351,0.61431,7.50233
ZFX,6.82733,76.4083,0.4545,4.21976,0,39.03911,33.31556,4.30929,15.23704,223.70883,3.01945,0.86003,83.96839
LAMP2,0.85342,52.86254,3.52234,16.57762,0,129.96873,31.75102,164.47114,20.84147,117.72433,238.854,220.04576,14.71611
ITGA2B,0,1.03878,0,0,0,1.93983,9.38726,0.71821,0,0.24458,0.63567,0,1.1542
ASB4,0,1.26962,1.24986,30.84443,1.85902,151.79183,0.18406,8.51597,9.45747,0.97832,4.60863,0.24572,56.26748
GDE1,2.13354,0.34626,3.18147,9.34375,30.80657,2.66727,30.64664,8.61857,0.17514,71.09114,3.33728,50.49626,8.07943
C19orf60,0.99565,0.11542,2.49973,27.62937,1.0623,35.28069,2.48486,525.32266,1.22597,2.36427,98.21142,0.24572,4.61682
CRLF1,0,0,0,26.12232,0.26557,5.2133,0.18406,24.8297,0,4.56549,2.86053,3.44013,0.86565
OSBPL7,0,0.5771,0.79537,6.32964,3.71803,14.18502,0,18.98139,1.40111,1.14137,20.34152,0.12286,10.67639
TMEM98,2.13354,0.11542,0.11362,90.62434,5.84263,40.49399,0.73626,33.14047,43.95974,44.75807,18.11667,51.60202,12.69625
YBX2,0,0.5771,0,0,0.53115,0,0.64422,0.1026,0,0.73374,0,1.59721,0.86565
KRT33A,0,0,0,0,0,0,0,0,0,0,0,0,0
MAP3K14,0,29.77846,6.93106,5.02352,3.18689,13.57882,1.65657,7.38735,9.1072,40.19259,36.55118,2.70296,7.21378
ABCC8,0.71118,0,0,1.60753,0,0.48496,0,0.2052,0,0,0,0,0.5771
CACNG3,0,0,0,0,0,0.12124,0,0,0,0.57069,0,0,0
TMEM132A,0,0.11542,2.3861,82.98859,1.0623,70.07642,45.18768,1.43643,0.17514,120.49623,3.01945,179.62418,7.79088
AP2B1,90.60441,1.61589,58.74359,24.8162,41.16396,169.12908,221.42885,7.38735,3.32763,183.92388,10.80643,183.55576,53.38196
TAC1,0,0.11542,0,0,0,1.33363,0.82829,46.27354,0.52542,0,0,11.42616,0.28855
ZNF263,0,0.46168,0.79537,28.83502,19.3869,4.48586,30.73867,2.05204,0.35028,9.86471,33.37281,10.3204,11.8306
CX3CL1,0,0.11542,0.11362,38.78159,6.37377,9.69916,3.77331,0.30781,21.01661,36.60542,0.63567,17.20067,10.38784
SPATA20,0.99565,21.35277,0.34087,46.2164,5.57705,127.18022,71.60085,180.06665,21.36689,10.51692,12.39562,130.11081,10.96494
CACNA1G,0,0.34626,0,4.62164,0.79672,0.96992,0.18406,1.94944,0,0.89679,1.27135,0.24572,2.30841
TNFRSF12A,0,0.11542,0.11362,190.99431,1.85902,5.69826,6.81036,52.12186,92.1228,234.14423,56.73378,1.84293,2.30841
DLX6,0,0,0,0.10047,1.32787,4.48586,0,8.82378,0,0,1.11243,0.9829,1.73131
MAP3K9,0.28447,0.23084,0.22725,0.10047,0,10.79031,0.2761,7.69516,0.35028,0.48916,25.10907,0,0
RALA,6.54286,2.88551,45.79046,18.88844,12.2164,59.40735,126.72798,101.16565,1.75138,3.09801,129.99506,7.98603,6.63668
BAIAP2L1,6.54286,43.85975,0.56812,0.10047,25.4951,20.24699,10.6757,10.56801,5.60443,43.37212,25.74474,26.1696,11.54205
KDM7A,4.26708,92.10548,0.11362,7.43481,17.52788,13.8213,2.48486,0.82082,465.69301,22.4198,1.27135,0.86003,25.10395
ETV1,1.42236,1.03878,76.92343,57.67003,47.27216,0,53.93072,3.28327,5.25415,11.90288,0.15892,65.48542,96.08753
AGK,16.9261,14.54297,0.4545,16.07527,6.63935,24.97533,12.05618,5.74572,96.32612,0.48916,0.63567,0,5.19392
ALDH3B1,0.28447,0.80794,0.11362,4.62164,2.92131,0.12124,0.09203,3.18066,14.18621,38.72511,1.11243,1.10576,1.1542
TTC22,1.84907,4.27055,2.04523,0.10047,1.32787,2.90975,12.14822,0,0,23.15354,6.35673,0,1.1542
PHTF2,1.99131,27.23921,6.36294,0.30141,27.88526,4.48586,17.8542,19.8022,57.97081,54.54126,0.15892,1.96579,11.54205
CCL26,0,0,0.11362,0.50235,0,3.03099,0,1.94944,0,0.73374,1.7481,0.12286,0.28855
FARP2,22.61554,9.34905,27.26975,1.90894,15.66886,20.85319,9.57132,1.02602,49.91444,55.03042,48.78788,7.24886,43.28267
USH1C,0.71118,0,0,21.90256,1.32787,38.55416,0.2761,0,2.80221,0.08153,0.95351,0.12286,5.19392
GGCT,2.41801,0,28.40599,0.80376,1.59344,36.25061,5.70598,58.9962,0.52542,1.71206,1.90702,19.53505,1.44276
DBF4,0.85342,22.0453,0.90899,0.20094,7.1705,9.8204,0.18406,1.74424,0.17514,16.38683,0.15892,15.23488,4.32827
TBXA2R,0.56894,0.23084,3.63597,0.70329,0,5.94073,0.2761,0.51301,0.70055,0.89679,12.39562,8.84606,1.1542
IFRD1,18.34846,27.12379,6.36294,155.72919,10.09181,89.23226,27.14942,7.28475,91.42225,17.28363,64.52077,92.76078,17.89017
LGALS14,0,0,0,0,0.26557,0,0.09203,0.2052,0,0,0.15892,0.49145,0
COX10,0.99565,24.81539,0.34087,3.91835,7.96722,0.48496,3.68128,2.97546,1.05083,10.10929,0.15892,1.72007,6.92523
GTF2IRD1,0,0.5771,1.36349,8.53999,12.48197,81.59417,15.18527,296.52001,0.17514,71.41725,0.47675,120.89616,15.29321
PAF1,0.28447,0.34626,61.81144,11.15222,11.41968,24.85409,9.29523,47.81257,2.10166,2.60885,14.77939,3.80872,15.58176
VPS41,202.54423,8.07943,110.66975,17.38139,14.34099,69.47022,119.36543,93.8809,242.21641,50.3834,128.40587,0,34.04904
ARHGAP44,0,2.65467,0.22725,33.6576,0.53115,0,26.04504,0.51301,8.75692,24.70254,9.05834,8.84606,4.90537
ELAC2,21.05095,161.24229,0.79537,5.12399,9.02951,3.63718,55.12713,1.33383,33.45143,103.70176,44.33817,5.03734,14.13901
SCIN,0,1.26962,0.56812,35.76748,1.32787,0.36372,34.51198,1.43643,0.17514,21.93064,14.30263,0.49145,4.03972
ARSD,0.56894,41.20508,1.93161,29.94019,3.45246,71.65254,17.11794,2.77026,5.25415,12.22898,3.17836,32.06697,17.60162
